"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"NOMO1","A0A0G2JN29;Q15155","Nodal modulator 1","A0A0G2JN29_HUMAN;NOMO1_HUMAN"
"PPP2R3B","A0A0G2JN52;A0A0G2JNR6;Q9Y5P8","Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta","A0A0G2JN52_HUMAN;A0A0G2JNR6_HUMAN;P2R3B_HUMAN"
"KANSL1","A0A0G2JNB1;A0A0G2JNT7;A0A0J9YVS1;A0A1W2PRB5;A0A3B3IT55;Q7Z3B3","KAT8 regulatory NSL complex subunit 1","A0A0G2JNB1_HUMAN;A0A0G2JNT7_HUMAN;A0A0J9YVS1_HUMAN;A0A1W2PRB5_HUMAN;A0A3B3IT55_HUMAN;KANL1_HUMAN"
"HNRNPCL2;HNRNPCL2;HNRNPCL1","A0A0G2JNQ3;B2RXH8;O60812","Heterogeneous nuclear ribonucleoprotein C-like 2;Heterogeneous nuclear ribonucleoprotein C-like 2;Heterogeneous nuclear ribonucleoprotein C-like 1","A0A0G2JNQ3_HUMAN;HNRC2_HUMAN;HNRC1_HUMAN"
"SLC12A7","A0A0G2JNW7;Q9Y666","Solute carrier family 12 member 7","A0A0G2JNW7_HUMAN;S12A7_HUMAN"
"HLA-G","A0A0G2JNX1;A0A0G2JPQ3;P17693;Q31611;Q5RJ85;Q8MH48","HLA class I histocompatibility antigen, alpha chain G;HLA class I histocompatibility antigen, alpha chain G;HLA class I histocompatibility antigen, alpha chain G;B2 microglobulin;HLA class I histocompatibility antigen, alpha chain G;HLA class I histocompatibility antigen, alpha chain G","A0A0G2JNX1_HUMAN;A0A0G2JPQ3_HUMAN;HLAG_HUMAN;Q31611_HUMAN;Q5RJ85_HUMAN;Q8MH48_HUMAN"
"ARHGAP27","A0A0G2JNY3;A0A0G2JRG8;A0A8I5KVA8;E9PIR1;E9PNT2;Q6ZUM4","Rho GTPase-activating protein 27","A0A0G2JNY3_HUMAN;A0A0G2JRG8_HUMAN;A0A8I5KVA8_HUMAN;E9PIR1_HUMAN;E9PNT2_HUMAN;RHG27_HUMAN"
"SCRIB","A0A0G2JNZ2;A0A0G2JPP5;Q14160","Protein scribble homolog","A0A0G2JNZ2_HUMAN;A0A0G2JPP5_HUMAN;SCRIB_HUMAN"
"RAD17","A0A0G2JPT5;O75943","Cell cycle checkpoint protein RAD17","A0A0G2JPT5_HUMAN;RAD17_HUMAN"
"ABR","A0A0G2JQ41;A0A1C7CYZ0;I3L4Y1;Q12979","Active breakpoint cluster region-related protein (Fragment);Active breakpoint cluster region-related protein;Active breakpoint cluster region-related protein;Active breakpoint cluster region-related protein","A0A0G2JQ41_HUMAN;A0A1C7CYZ0_HUMAN;I3L4Y1_HUMAN;ABR_HUMAN"
"AP2A2","A0A0G2JQM1","AP-2 complex subunit alpha-2 (Fragment)","A0A0G2JQM1_HUMAN"
"CYFIP1","A0A0G2JQT1;A0A0G2JR96","Cytoplasmic FMR1-interacting protein 1 (Fragment)","A0A0G2JQT1_HUMAN;A0A0G2JR96_HUMAN"
"PRAME","A0A0G2JRX7;E7EMH2;E7EW99;H7C2P3;P78395","Melanoma antigen preferentially-expressed in tumors (Fragment);Melanoma antigen preferentially-expressed in tumors (Fragment);Melanoma antigen preferentially-expressed in tumors (Fragment);Melanoma antigen preferentially-expressed in tumors (Fragment);Melanoma antigen preferentially expressed in tumors","A0A0G2JRX7_HUMAN;E7EMH2_HUMAN;E7EW99_HUMAN;H7C2P3_HUMAN;PRAME_HUMAN"
"PHRF1","A0A0J9YWD5;A0A0J9YYB5;B7ZM65;E9PJ24;F8WEF5;Q9P1Y6","PHD and RING finger domain-containing protein 1","A0A0J9YWD5_HUMAN;A0A0J9YYB5_HUMAN;B7ZM65_HUMAN;E9PJ24_HUMAN;F8WEF5_HUMAN;PHRF1_HUMAN"
"CRYBG1","A0A0J9YWL0;Q9Y4K1","Beta/gamma crystallin domain-containing protein 1","A0A0J9YWL0_HUMAN;CRBG1_HUMAN"
"CELF2","A0A0J9YX66;A0A0J9YXJ0;A0A1B0GU44;A0A1B0GUN8;E9PC62;O95319;Q5VZZ6","CUGBP Elav-like family member 2","A0A0J9YX66_HUMAN;A0A0J9YXJ0_HUMAN;A0A1B0GU44_HUMAN;A0A1B0GUN8_HUMAN;E9PC62_HUMAN;CELF2_HUMAN;Q5VZZ6_HUMAN"
"MED16","A0A0J9YXE6;A0A0J9YYC6","Mediator of RNA polymerase II transcription subunit 16 (Fragment)","A0A0J9YXE6_HUMAN;A0A0J9YYC6_HUMAN"
"PON2","A0A0J9YXF2","Paraoxonase","A0A0J9YXF2_HUMAN"
"WDR81","A0A0J9YXM6;Q562E7","WD repeat-containing protein 81","A0A0J9YXM6_HUMAN;WDR81_HUMAN"
"PLIN4","A0A0J9YXN7;Q96Q06","Perilipin-4","A0A0J9YXN7_HUMAN;PLIN4_HUMAN"
"CENPV","A0A0M3HER2","Centromere protein V","A0A0M3HER2_HUMAN"
"R3HCC1","A0A0R4J2E2;A0A7P0N5L0;Q9Y3T6","R3H and coiled-coil domain-containing protein 1","A0A0R4J2E2_HUMAN;A0A7P0N5L0_HUMAN;R3HC1_HUMAN"
"MATR3","A0A0R4J2E8;A8MXP9;P43243","Matrin-3","A0A0R4J2E8_HUMAN;A8MXP9_HUMAN;MATR3_HUMAN"
"CLDND1","A0A0R4J2F2;D6R9S8;D6RA76;D6RC11;D6RCE6;D6RCR8;D6RDI6;D6RDP6;D6RDY1;D6RFX6;D6RHU6;D6RIU2;H0Y8T9;Q9NY35","Claudin domain-containing protein 1;Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1;Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1 (Fragment);Claudin domain-containing protein 1","A0A0R4J2F2_HUMAN;D6R9S8_HUMAN;D6RA76_HUMAN;D6RC11_HUMAN;D6RCE6_HUMAN;D6RCR8_HUMAN;D6RDI6_HUMAN;D6RDP6_HUMAN;D6RDY1_HUMAN;D6RFX6_HUMAN;D6RHU6_HUMAN;D6RIU2_HUMAN;H0Y8T9_HUMAN;CLDN1_HUMAN"
"IFRD2","A0A0R4J2F6;Q12894","Interferon-related developmental regulator 2","A0A0R4J2F6_HUMAN;IFRD2_HUMAN"
"ANXA6","A0A0S2Z377","Annexin (Fragment)","A0A0S2Z377_HUMAN"
"DMD","A0A0S2Z3B2;A0A7P0TA90;A0A7P0TAD9","Dystrophin","A0A0S2Z3B2_HUMAN;A0A7P0TA90_HUMAN;A0A7P0TAD9_HUMAN"
"TPM1","A0A0S2Z4G6","Tropomyosin 1 (Alpha), isoform CRA_o (Fragment)","A0A0S2Z4G6_HUMAN"
"PROS1","A0A0S2Z4L3;A0A3B3IRK9;A0A3B3ISJ1;G5E9F8;P07225","Vitamin K-dependent protein S (Fragment);Vitamin K-dependent protein S;Vitamin K-dependent protein S;Vitamin K-dependent protein S;Vitamin K-dependent protein S","A0A0S2Z4L3_HUMAN;A0A3B3IRK9_HUMAN;A0A3B3ISJ1_HUMAN;G5E9F8_HUMAN;PROS_HUMAN"
"RAF1","A0A0S2Z4L5;P04049","non-specific serine/threonine protein kinase (Fragment);RAF proto-oncogene serine/threonine-protein kinase","A0A0S2Z4L5_HUMAN;RAF1_HUMAN"
"FPGT","A0A0S2Z5C6;O14772","Fucose-1-phosphate guanylyltransferase (Fragment);Fucose-1-phosphate guanylyltransferase","A0A0S2Z5C6_HUMAN;FPGT_HUMAN"
"CLN6;CLN6;CLN6;CLN6;;CLN6;CLN6;CLN6;CLN6","A0A0S2Z5D0;A0A1B0GTU6;A0A1B0GTV3;A0A1B0GUD2;A0A1B0GW73;H3BNF1;H3BUT1;H3BUV4;Q9NWW5","Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 2;Ceroid-lipofuscinosis neuronal protein 6 (Fragment);Ceroid-lipofuscinosis neuronal protein 6;Ceroid-lipofuscinosis neuronal protein 6;Uncharacterized protein;Ceroid-lipofuscinosis neuronal protein 6;Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 5;Ceroid-lipofuscinosis neuronal protein 6;Ceroid-lipofuscinosis neuronal protein 6","A0A0S2Z5D0_HUMAN;A0A1B0GTU6_HUMAN;A0A1B0GTV3_HUMAN;A0A1B0GUD2_HUMAN;A0A1B0GW73_HUMAN;H3BNF1_HUMAN;H3BUT1_HUMAN;H3BUV4_HUMAN;CLN6_HUMAN"
"SH3D19","A0A0U1RQE4;A0A494C1M0;Q5HYK7","SH3 domain-containing protein 19","A0A0U1RQE4_HUMAN;A0A494C1M0_HUMAN;SH319_HUMAN"
"EIF4G3","A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92","Eukaryotic translation initiation factor 4 gamma 3","A0A0U1RQK7_HUMAN;A0A8I5KT99_HUMAN;A0A8I5KV92_HUMAN"
"GSN","A0A0U1RQL8","Macrophage-capping protein (Fragment)","A0A0U1RQL8_HUMAN"
"ERVK3-1","A0A0U1RQL9;A0A0U1RQS5;A0A0U1RQV1;B3KNS4","Endogenous retrovirus group K3 member 1 (Fragment);Endogenous retrovirus group K3 member 1 (Fragment);Endogenous retrovirus group K3 member 1 (Fragment);Endogenous retrovirus group K3 member 1","A0A0U1RQL9_HUMAN;A0A0U1RQS5_HUMAN;A0A0U1RQV1_HUMAN;B3KNS4_HUMAN"
"PROCR","A0A0U1RQQ4;Q9UNN8","Endothelial protein C receptor (Fragment);Endothelial protein C receptor","A0A0U1RQQ4_HUMAN;EPCR_HUMAN"
"SCYL2","A0A0U1RQQ9;Q6P3W7","SCY1-like protein 2","A0A0U1RQQ9_HUMAN;SCYL2_HUMAN"
"CSNK1G1","A0A0U1RQT7;A0A0U1RQY7;Q8IXA3;Q9HCP0;U3KQA5;U3KQB3","non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;Casein kinase I isoform gamma-1;non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase","A0A0U1RQT7_HUMAN;A0A0U1RQY7_HUMAN;Q8IXA3_HUMAN;KC1G1_HUMAN;U3KQA5_HUMAN;U3KQB3_HUMAN"
"PTPRD","A0A0U1RQU1;F5GWR7;P23468;Q3KPI9","protein-tyrosine-phosphatase;protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase delta;protein-tyrosine-phosphatase","A0A0U1RQU1_HUMAN;F5GWR7_HUMAN;PTPRD_HUMAN;Q3KPI9_HUMAN"
"DENND4A","A0A0U1RR27;A0A7I2RAZ6;Q7Z401","C-myc promoter-binding protein","A0A0U1RR27_HUMAN;A0A7I2RAZ6_HUMAN;MYCPP_HUMAN"
"hCG_2039566;;H2AC8;H2AC7;H2AC25","A0A0U1RR32;A0A0U1RRH7;P04908;P20671;Q7L7L0","Histone H2A;Histone H2A;Histone H2A type 1-B/E;Histone H2A type 1-D;Histone H2A type 3","A0A0U1RR32_HUMAN;A0A0U1RRH7_HUMAN;H2A1B_HUMAN;H2A1D_HUMAN;H2A3_HUMAN"
"SEC24C","A0A0U1RR49","Protein transport protein Sec24C (Fragment)","A0A0U1RR49_HUMAN"
"PLEKHG3","A0A0U1RR71;A0A8C8NWT4;A1L390","Pleckstrin homology domain-containing family G member 3","A0A0U1RR71_HUMAN;A0A8C8NWT4_HUMAN;PKHG3_HUMAN"
"EXOC6B","A0A0U1RRB6;Q9Y2D4","Exocyst complex component;Exocyst complex component 6B","A0A0U1RRB6_HUMAN;EXC6B_HUMAN"
"NBDY","A0A0U1RRE5","Negative regulator of P-body association","NBDY_HUMAN"
"MICU1","A0A0U1RRK1;A0A286YF11;Q9BPX6","Calcium uptake protein 1, mitochondrial;Calcium uptake protein 1, mitochondrial;Calcium uptake protein 1, mitochondrial","A0A0U1RRK1_HUMAN;A0A286YF11_HUMAN;MICU1_HUMAN"
"ELF1","A0A0U1RRL5;P32519","ETS-related transcription factor Elf-1 (Fragment);ETS-related transcription factor Elf-1","A0A0U1RRL5_HUMAN;ELF1_HUMAN"
"MMP24OS","A0A0U1RRL7","Protein MMP24OS","MMPOS_HUMAN"
"ENAH","A0A0U1RRM6;Q8N8S7","Protein enabled homolog","A0A0U1RRM6_HUMAN;ENAH_HUMAN"
"COBLL1","A0A0X1KG75;Q53SF7","Cordon-bleu protein-like 1","A0A0X1KG75_HUMAN;COBL1_HUMAN"
"HLA-A","A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42","HLA class I histocompatibility antigen, A alpha chain;HLA class I histocompatibility antigen, A alpha chain (Fragment);HLA class I histocompatibility antigen, A alpha chain (Fragment);HLA class I antigen","A0A140T913_HUMAN;A0A140T9I0_HUMAN;A0A140T9X5_HUMAN;Q53Z42_HUMAN"
"HLA-C","A0A140T9J9;Q5QT33","HLA class I histocompatibility antigen, C alpha chain;HLA class I antigen","A0A140T9J9_HUMAN;Q5QT33_HUMAN"
"WDR46","A0A140T9L0","WD repeat-containing protein 46 (Fragment)","A0A140T9L0_HUMAN"
"TAP1","A0A140T9T7","Antigen peptide transporter 1","A0A140T9T7_HUMAN"
"PHF1","A0A140TA01;A2AB23;E9PQT8;E9PQZ5;O43189","PHD finger protein 1;PHD finger protein 1 (Fragment);PHD finger protein 1;PHD finger protein 1;PHD finger protein 1","A0A140TA01_HUMAN;A2AB23_HUMAN;E9PQT8_HUMAN;E9PQZ5_HUMAN;PHF1_HUMAN"
"RNF5","A0A140TA09;Q99942","RING-type E3 ubiquitin transferase;E3 ubiquitin-protein ligase RNF5","A0A140TA09_HUMAN;RNF5_HUMAN"
"MICOS13","A0A140TA86;Q5XKP0","MICOS complex subunit MIC13","A0A140TA86_HUMAN;MIC13_HUMAN"
"TXNRD2","A0A182DWF2;A0A182DWF3;Q9NNW7","thioredoxin-disulfide reductase;thioredoxin-disulfide reductase;Thioredoxin reductase 2, mitochondrial","A0A182DWF2_HUMAN;A0A182DWF3_HUMAN;TRXR2_HUMAN"
"FTO","A0A1B0GTC3;A0A1B0GVH5;Q9C0B1","Alpha-ketoglutarate-dependent dioxygenase FTO","A0A1B0GTC3_HUMAN;A0A1B0GVH5_HUMAN;FTO_HUMAN"
"ALDH7A1","A0A1B0GTG2;A0A1B0GW77;P49419","Alpha-aminoadipic semialdehyde dehydrogenase;aldehyde dehydrogenase (NAD(+));Alpha-aminoadipic semialdehyde dehydrogenase","A0A1B0GTG2_HUMAN;A0A1B0GW77_HUMAN;AL7A1_HUMAN"
"RAB11FIP5","A0A1B0GTL5;Q9BXF6","Rab11 family-interacting protein 5","A0A1B0GTL5_HUMAN;RFIP5_HUMAN"
"ASAH1","A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GUH5;A0A1B0GW68;E7EMM4;Q13510","ceramidase;ceramidase;ceramidase;ceramidase;ceramidase;ceramidase;Acid ceramidase","A0A1B0GTM3_HUMAN;A0A1B0GTZ5_HUMAN;A0A1B0GUA4_HUMAN;A0A1B0GUH5_HUMAN;A0A1B0GW68_HUMAN;E7EMM4_HUMAN;ASAH1_HUMAN"
"RAB34","A0A1B0GTQ2;A0A1B0GWB1","Ras-related protein Rab-34, isoform NARR;Ras-related protein Rab-34, isoform NARR","A0A1B0GTQ2_HUMAN;A0A1B0GWB1_HUMAN"
"FASN","A0A1B0GTR5","Fatty acid synthase (Fragment)","A0A1B0GTR5_HUMAN"
"BEGAIN","A0A1B0GTT1;A0A1B0GVM0;G3V3A2;G3V3R5;Q9BUH8","Brain-enriched guanylate kinase-associated protein","A0A1B0GTT1_HUMAN;A0A1B0GVM0_HUMAN;G3V3A2_HUMAN;G3V3R5_HUMAN;BEGIN_HUMAN"
"ZC3H11B","A0A1B0GTU1","Zinc finger CCCH domain-containing protein 11B","ZC11B_HUMAN"
"KIF16B","A0A1B0GTU3;Q96L93","Kinesin-like protein KIF16B","A0A1B0GTU3_HUMAN;KI16B_HUMAN"
"PXN","A0A1B0GTU4;F5GZ78;P49023","Paxillin","A0A1B0GTU4_HUMAN;F5GZ78_HUMAN;PAXI_HUMAN"
"TJP2;;TJP2;TJP2;TJP2","A0A1B0GTW1;A0A2R8YDH4;A0A3B3IRI3;A0A3B3ITE1;Q9UDY2","Tight junction protein ZO-2;Tight junction protein 2;Tight junction protein ZO-2;Tight junction protein ZO-2 (Fragment);Tight junction protein ZO-2","A0A1B0GTW1_HUMAN;A0A2R8YDH4_HUMAN;A0A3B3IRI3_HUMAN;A0A3B3ITE1_HUMAN;ZO2_HUMAN"
"KIFBP","A0A1B0GUA3;Q96EK5","KIF-binding protein","A0A1B0GUA3_HUMAN;KBP_HUMAN"
"RALGAPA1","A0A1B0GUI1;A0A7P0TAR5","Ral GTPase-activating protein subunit alpha-1","A0A1B0GUI1_HUMAN;A0A7P0TAR5_HUMAN"
"LRRK2","A0A1B0GUQ3;A0A7P0T8S1;A0A7P0T8T5;A0A7P0Z4D9;Q5S007","Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment);non-specific serine/threonine protein kinase;Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment);Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment);Leucine-rich repeat serine/threonine-protein kinase 2","A0A1B0GUQ3_HUMAN;A0A7P0T8S1_HUMAN;A0A7P0T8T5_HUMAN;A0A7P0Z4D9_HUMAN;LRRK2_HUMAN"
"UBE2L5","A0A1B0GUS4","Ubiquitin-conjugating enzyme E2 L5","UB2L5_HUMAN"
"UNC13B","A0A1B0GUS7","Protein unc-13 homolog B","A0A1B0GUS7_HUMAN"
"RBMS3","A0A1B0GUW5;C9J9B2;C9JIJ9;Q6XE24","RNA-binding motif, single-stranded-interacting protein 3;RNA-binding motif, single-stranded-interacting protein 3;RNA-binding motif, single-stranded-interacting protein 3;RNA-binding motif, single-stranded-interacting protein 3","A0A1B0GUW5_HUMAN;C9J9B2_HUMAN;C9JIJ9_HUMAN;RBMS3_HUMAN"
"EFR3A","A0A1B0GUZ7;Q14156","Protein EFR3 homolog A","A0A1B0GUZ7_HUMAN;EFR3A_HUMAN"
"ZEB2","A0A1B0GV02;A0A1B0GVV8;A0A1B0GW50;A0A6Q8PH34;A0JP08;O60315;U3KQ51","Zinc finger E-box-binding homeobox 2","A0A1B0GV02_HUMAN;A0A1B0GVV8_HUMAN;A0A1B0GW50_HUMAN;A0A6Q8PH34_HUMAN;A0JP08_HUMAN;ZEB2_HUMAN;U3KQ51_HUMAN"
"CTSD","A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;C9JH19;P07339","Cathepsin D","A0A1B0GV23_HUMAN;A0A1B0GVD5_HUMAN;A0A1B0GWE8_HUMAN;C9JH19_HUMAN;CATD_HUMAN"
"KIF21A","A0A1B0GV47;Q7Z4S6","Kinesin-like protein KIF21A (Fragment);Kinesin-like protein KIF21A","A0A1B0GV47_HUMAN;KI21A_HUMAN"
"ZBTB38","A0A1B0GV48;D6RBC4;Q8NAP3","Zinc finger and BTB domain-containing protein 38 (Fragment);Zinc finger and BTB domain-containing protein 38 (Fragment);Zinc finger and BTB domain-containing protein 38","A0A1B0GV48_HUMAN;D6RBC4_HUMAN;ZBT38_HUMAN"
"TEPSIN","A0A1B0GV70","AP-4 complex accessory subunit Tepsin","A0A1B0GV70_HUMAN"
"CLN3;CLN3;;CLN3","A0A1B0GV71;A0A1B0GW34;A0A1B0GWD3;Q13286","Battenin","A0A1B0GV71_HUMAN;A0A1B0GW34_HUMAN;A0A1B0GWD3_HUMAN;CLN3_HUMAN"
"KRT10","A0A1B0GVI3","Keratin, type I cytoskeletal 10","A0A1B0GVI3_HUMAN"
"FAM193A","A0A1B0GVL4","Protein FAM193A","A0A1B0GVL4_HUMAN"
"ATP6AP2","A0A1B0GVW0;O75787","Renin receptor","A0A1B0GVW0_HUMAN;RENR_HUMAN"
"PLEKHA6","A0A1B0GW03","Pleckstrin homology domain-containing family A member 6 (Fragment)","A0A1B0GW03_HUMAN"
"DPY19L1","A0A1B0GW05","Probable C-mannosyltransferase DPY19L1","A0A1B0GW05_HUMAN"
"PDE4D","A0A1B0GW84;Q08499","Phosphodiesterase;cAMP-specific 3',5'-cyclic phosphodiesterase 4D","A0A1B0GW84_HUMAN;PDE4D_HUMAN"
"U2AF1","A0A1B0GW87","Splicing factor U2AF 35 kDa subunit","A0A1B0GW87_HUMAN"
"DOCK7","A0A1B0GWE0","Dedicator of cytokinesis protein 7 (Fragment)","A0A1B0GWE0_HUMAN"
"PGPEP1L","A0A1B0GWH3","Pyroglutamyl-peptidase 1-like protein (Fragment)","A0A1B0GWH3_HUMAN"
"CLN5","A0A1B0GWI2;O75503","Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5","A0A1B0GWI2_HUMAN;CLN5_HUMAN"
"PHF21A","A0A1B0GX09;E9PLU5","PHD finger protein 21A (Fragment)","A0A1B0GX09_HUMAN;E9PLU5_HUMAN"
"ORMDL1;ORMDL1;ORMDL2;ORMDL1","A0A1B0GXE7;F6WST4;Q53FV1;Q9P0S3","ORM1-like protein 1;ORM1-like protein 1 (Fragment);ORM1-like protein 2;ORM1-like protein 1","A0A1B0GXE7_HUMAN;F6WST4_HUMAN;ORML2_HUMAN;ORML1_HUMAN"
"MIDEAS","A0A1C7CYX1","Mitotic deacetylase-associated SANT domain protein","A0A1C7CYX1_HUMAN"
"DPYSL2","A0A1C7CYX9","Dihydropyrimidinase-related protein 2","A0A1C7CYX9_HUMAN"
"POMT1","A0A1V1FTP4;Q9Y6A1","Dolichyl-phosphate-mannose--protein mannosyltransferase;Protein O-mannosyl-transferase 1","A0A1V1FTP4_HUMAN;POMT1_HUMAN"
"SLC35A3;SLC35A3;;;SLC35A3;;SLC35A3;;SLC35A3;SLC35A3;SLC35A3;SLC35A3;SLC35A3;;;;SLC35A3;SLC35A3","A0A1W2PNF0;A0A1W2PNY6;A0A1W2PPE6;A0A1W2PPG9;A0A1W2PPH4;A0A1W2PQ13;A0A1W2PQ60;A0A1W2PQD6;A0A1W2PQH2;A0A1W2PQL8;A0A1W2PR66;A0A1W2PRN3;A0A1W2PRT7;A0A1W2PS45;A0A1W2PS77;A0A1W2PSA9;A0A1W2PSD1;Q9Y2D2","UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;Solute carrier family 35 member A3;UDP-N-acetylglucosamine transporter;MFS domain-containing protein;UDP-N-acetylglucosamine transporter;Solute carrier family 35 member A3;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter;Solute carrier family 35 member A3;Solute carrier family 35 member A3a;MFS domain-containing protein;UDP-N-acetylglucosamine transporter;UDP-N-acetylglucosamine transporter","A0A1W2PNF0_HUMAN;A0A1W2PNY6_HUMAN;A0A1W2PPE6_HUMAN;A0A1W2PPG9_HUMAN;A0A1W2PPH4_HUMAN;A0A1W2PQ13_HUMAN;A0A1W2PQ60_HUMAN;A0A1W2PQD6_HUMAN;A0A1W2PQH2_HUMAN;A0A1W2PQL8_HUMAN;A0A1W2PR66_HUMAN;A0A1W2PRN3_HUMAN;A0A1W2PRT7_HUMAN;A0A1W2PS45_HUMAN;A0A1W2PS77_HUMAN;A0A1W2PSA9_HUMAN;A0A1W2PSD1_HUMAN;S35A3_HUMAN"
"PIGT","A0A1W2PNP0;A0A1W2PP57;A0A1W2PPC3;A0A1W2PPS0;Q969N2","GPI transamidase component PIG-T (Fragment);GPI transamidase component PIG-T;GPI transamidase component PIG-T;GPI transamidase component PIG-T;GPI transamidase component PIG-T","A0A1W2PNP0_HUMAN;A0A1W2PP57_HUMAN;A0A1W2PPC3_HUMAN;A0A1W2PPS0_HUMAN;PIGT_HUMAN"
"IER3IP1","A0A1W2PNR9;Q9Y5U9","Immediate early response 3-interacting protein 1","A0A1W2PNR9_HUMAN;IR3IP_HUMAN"
"","A0A1W2PNV4","Actin-related protein 2/3 complex subunit 1A","A0A1W2PNV4_HUMAN"
";PARL","A0A1W2PP11;Q9H300","Rhomboid domain-containing protein;Presenilins-associated rhomboid-like protein, mitochondrial","A0A1W2PP11_HUMAN;PARL_HUMAN"
"HNRNPU","A0A1W2PP35","Heterogeneous nuclear ribonucleoprotein U (Fragment)","A0A1W2PP35_HUMAN"
"DPAGT1","A0A1W2PPC6;A0A804HJ11;Q9H3H5","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","A0A1W2PPC6_HUMAN;A0A804HJ11_HUMAN;GPT_HUMAN"
"GOSR2;GOSR2;GOSR2;GOSR2;GOSR2;GOSR2;;GOSR2;GOSR2;GOSR2","A0A1W2PPG1;A0A1W2PPG5;A0A1W2PPP5;A0A1W2PQM3;A0A1W2PRC2;A0A1W2PS81;E7EQ34;I3L4Z6;I3NI02;O14653","Golgi SNAP receptor complex member 2","A0A1W2PPG1_HUMAN;A0A1W2PPG5_HUMAN;A0A1W2PPP5_HUMAN;A0A1W2PQM3_HUMAN;A0A1W2PRC2_HUMAN;A0A1W2PS81_HUMAN;E7EQ34_HUMAN;I3L4Z6_HUMAN;I3NI02_HUMAN;GOSR2_HUMAN"
"CRBN","A0A1W2PPJ5;Q96SW2","Protein cereblon","A0A1W2PPJ5_HUMAN;CRBN_HUMAN"
"SETD2","A0A1W2PPX9;Q9BYW2","[histone H3]-lysine(36) N-trimethyltransferase;Histone-lysine N-methyltransferase SETD2","A0A1W2PPX9_HUMAN;SETD2_HUMAN"
"RTKN","A0A1W2PPZ2;Q9BST9","Rhotekin","A0A1W2PPZ2_HUMAN;RTKN_HUMAN"
"TCEA1","A0A1W2PPZ5;P23193","Transcription elongation factor;Transcription elongation factor A protein 1","A0A1W2PPZ5_HUMAN;TCEA1_HUMAN"
"RPS10-NUDT3","A0A1W2PQS6","RPS10-NUDT3 readthrough","A0A1W2PQS6_HUMAN"
"GCSH","A0A1W2PQV2;H3BUH9;P23434","Glycine cleavage system H protein, mitochondrial (Fragment);Glycine cleavage system H protein, mitochondrial (Fragment);Glycine cleavage system H protein, mitochondrial","A0A1W2PQV2_HUMAN;H3BUH9_HUMAN;GCSH_HUMAN"
"SLC7A2","A0A1W2PR06;P52569","Cationic amino acid transporter 2 (Fragment);Cationic amino acid transporter 2","A0A1W2PR06_HUMAN;CTR2_HUMAN"
"NECAP1","A0A1W2PR09;A0A1W2PRL5;A0A1W2PRM0;F5GYH1;Q8NC96","Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1;Adaptin ear-binding coat-associated protein 1 (Fragment);Adaptin ear-binding coat-associated protein 1","A0A1W2PR09_HUMAN;A0A1W2PRL5_HUMAN;A0A1W2PRM0_HUMAN;F5GYH1_HUMAN;NECP1_HUMAN"
"PFKFB3","A0A1W2PR17;F2Z2I2;Q16875;Q5VX20;Q5W015","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","A0A1W2PR17_HUMAN;F2Z2I2_HUMAN;F263_HUMAN;Q5VX20_HUMAN;Q5W015_HUMAN"
"","A0A1W2PRB8","Cofactor required for Sp1 transcriptional activation subunit 6","A0A1W2PRB8_HUMAN"
